UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,DocumentNumber,Status,DODAAC,UIC,UnitName,RPD,SignalCode,FundCode,ProjectCode,SupplementaryAddress,RequestType,RequiredDeliveryDate,ShipToDODAAC,ShipToName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToZIP,Justification,JustificationText,LineCount,TotalValue,EnteredDate,EnteredBy,SubmittedDate,ReviewedBy,ApprovedDate,VendorKey,VendorName,ReleasedDate,ReleasedBy,EstimatedShipDate,CancelReason,CancelledDate,CancelledBy,StatusHistory,DocReaders,DocAuthors,Priority,LastModifiedBy,LastModifiedDate,StatusInquiryKey,RequesterName,RequesterRank,RequesterRole,RequesterPhone,RequesterEmail
D88B03CF14BB81D6CDFC95A6836768D2,1082,,09/24/2025 10:15:32,10/11/2025 19:15:32,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WJMJXA52678877,Released to Vendor,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,15,M,2B,3AZ,,Distinguishing Flag,01/22/2026,WJMJXA,35th Air Defense Artillery Brigade,"Bldg 2266, HQ",Osan Air Base,Osan Air Base,KR,30891,Deployment ceremony,Request distinguishing flag items for 35th Air Defense Artillery Brigade. Ceremony scheduled; items required on hand 30 days prior.,2,506.98,09/24/2025,CN=Darnell Kellerhaus/OU=Units/O=Army,09/29/2025 10:15:32,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,10/07/2025 16:15:32,8BLU5,Blue Ridge Emblem Company,10/11/2025 19:15:32,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,12/10/2025,,,,09/24/2025 10:15 | (new) -> Draft | Darnell Kellerhaus;09/29/2025 10:15 | Draft -> Submitted | Darnell Kellerhaus;10/02/2025 10:15 | Submitted -> Under Review | Theodore Blankenship;10/07/2025 16:15 | Under Review -> Approved | Theodore Blankenship;10/11/2025 19:15 | Approved -> Released to Vendor | Lorraine Whitcombe,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;8BLU5,[TACOM];[Admin],Routine,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,10/11/2025 19:15:32,WJMJXA52678877|WJMJXA|W4RSJA,Darnell Kellerhaus,SGT,Executive Officer,(703) 555-1621,darnell.kellerhaus.mil@example.mil
8536A4B48F8701A618B6D7B53236990A,108E,,07/21/2026 13:35:18,08/14/2026 00:35:18,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WFTYWM62027266,Released to Vendor,WFTYWM,WR84JA,412th Theater Engineer Command (Army Reserve),09,M,GD,9GU,,Organizational Colors,10/19/2026,WFTYWM,412th Theater Engineer Command (Army Reserve),"Bldg 972, Property Book Office",Vicksburg,Vicksburg,MS,22317,Replacement - unserviceable,Request organizational colors items for 412th Theater Engineer Command (Army Reserve). Ceremony scheduled; items required on hand 30 days prior.,5,9882.72,07/21/2026,CN=Karen Lockridge/OU=Units/O=Army,07/26/2026 19:35:18,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,08/12/2026 22:35:18,3SRF2,Sew-Rite Flag Company,08/14/2026 00:35:18,CN=Ret Hamlin/OU=CHPSID/O=TACOM,10/13/2026,,,,07/21/2026 13:35 | (new) -> Draft | Karen Lockridge;07/26/2026 19:35 | Draft -> Submitted | Karen Lockridge;07/29/2026 21:35 | Submitted -> Under Review | Dwayne Petrakis;08/12/2026 22:35 | Under Review -> Approved | Dwayne Petrakis;08/14/2026 00:35 | Approved -> Released to Vendor | Ret Hamlin,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;3SRF2,[TACOM];[Admin],Routine,CN=Ret Hamlin/OU=CHPSID/O=TACOM,08/14/2026 00:35:18,WFTYWM62027266|WFTYWM|WR84JA,Karen Lockridge,MAJ,Unit Commander,(703) 555-1195,karen.lockridge.mil@example.mil
46F8359F27A62F4BB2AE61F8237BA8A7,10A6,,06/29/2026 17:24:22,08/12/2026 04:24:22,CN=Vendor Portal/O=Valley Forge Regalia Co.,,WGDZ6P61805577,In Production,WGDZ6P,WHDZFA,35th Signal Brigade,06,A,2C,,,Organizational Colors,08/28/2026,WGDZ6P,35th Signal Brigade,"Bldg 7717, Supply",Fort Gordon,Fort Gordon,GA,22438,Reflagging,Request organizational colors items for 35th Signal Brigade. Streamers authorized per CMH lineage and honors certificate dated 02/22/2026.,5,8337.39,06/29/2026,CN=Betty Lockridge/OU=Units/O=Army,07/01/2026 17:24:22,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,07/23/2026 22:24:22,2VLY8,Valley Forge Regalia Co.,07/28/2026 04:24:22,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,10/26/2026,,,,06/29/2026 17:24 | (new) -> Draft | Betty Lockridge;07/01/2026 17:24 | Draft -> Submitted | Betty Lockridge;07/09/2026 18:24 | Submitted -> Under Review | Lorraine Whitcombe;07/23/2026 22:24 | Under Review -> Approved | Lorraine Whitcombe;07/28/2026 04:24 | Approved -> Released to Vendor | Theodore Blankenship;08/12/2026 04:24 | Released to Vendor -> In Production | Vendor Portal,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;2VLY8,[TACOM];[Admin],Routine,CN=Vendor Portal/O=Valley Forge Regalia Co.,08/12/2026 04:24:22,WGDZ6P61805577|WGDZ6P|WHDZFA,Betty Lockridge,CW2,Unit Commander,(717) 555-1824,betty.lockridge.mil@example.mil
8D3237D6105EDFF28F654F8F2D28211C,10BE,,02/02/2026 17:43:00,02/02/2026 18:43:00,CN=Carol Umberlake/OU=Units/O=Army,,WJMJXA60339331,Submitted,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,15,M,2B,,WJMM59,Positional Color,05/03/2026,WJMM59,"3rd Infantry Brigade Combat Team, 10th Mountain Division","Bldg 3874, Property Book Office",Fort Polk,Fort Polk,LA,94415,Reflagging,Request positional color items for 35th Air Defense Artillery Brigade. Unit reflagged per HQDA order.,4,2483.95,02/02/2026,CN=Carol Umberlake/OU=Units/O=Army,02/02/2026 18:43:00,,,,,,,,,,,02/02/2026 17:43 | (new) -> Draft | Carol Umberlake;02/02/2026 18:43 | Draft -> Submitted | Carol Umberlake,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WJMJXA;CN=Carol Umberlake/OU=Units/O=Army,CN=Carol Umberlake/OU=Units/O=Army;[TACOM],Routine,CN=Carol Umberlake/OU=Units/O=Army,02/02/2026 18:43:00,WJMJXA60339331|WJMJXA|W4RSJA,Carol Umberlake,SGT,Other,(703) 555-1885,carol.umberlake.mil@example.mil
35FF1AD8E27FB872BD0A0EAC08253F7A,10D2,,06/22/2017 17:20:05,10/12/2017 14:20:05,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WAY86271732345,Complete,WAY862,WZV67A,12th Combat Aviation Brigade,02,A,2C,,,Insignia,10/20/2017,WAY862,12th Combat Aviation Brigade,"Bldg 3256, Supply","Katterbach Kaserne, Ansbach",Ansbach,DE,83300,Initial issue,Request insignia items for 12th Combat Aviation Brigade. Ceremony scheduled; items required on hand 30 days prior.,6,336.78,06/22/2017,CN=Patricia Vanterpool/OU=Units/O=Army,06/26/2017 19:20:05,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,07/16/2017 04:20:05,8BLU5,Blue Ridge Emblem Company,07/22/2017 07:20:05,CN=Ret Hamlin/OU=CHPSID/O=TACOM,10/05/2017,,,,06/22/2017 17:20 | (new) -> Draft | Patricia Vanterpool;06/26/2017 19:20 | Draft -> Submitted | Patricia Vanterpool;07/05/2017 01:20 | Submitted -> Under Review | Dwayne Petrakis;07/16/2017 04:20 | Under Review -> Approved | Dwayne Petrakis;07/22/2017 07:20 | Approved -> Released to Vendor | Ret Hamlin;08/09/2017 12:20 | Released to Vendor -> In Production | Vendor Portal;09/30/2017 12:20 | In Production -> Shipped | Vendor Portal;10/12/2017 14:20 | Shipped -> Complete | Dwayne Petrakis,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;8BLU5,[TACOM];[Admin],Expedite,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,10/12/2017 14:20:05,WAY86271732345|WAY862|WZV67A,Patricia Vanterpool,2LT,Executive Officer,(302) 555-1039,patricia.vanterpool.mil@example.mil
5889C2AA4193C581B1D85432879DC3E5,10EE,,03/24/2014 10:08:00,07/01/2014 12:08:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,DD1348-6_W3JPW640836324.pdf;Justification_W3JPW640836324.docx,W3JPW640836324,Complete,W3JPW6,WQDL80,"2nd Armored Brigade Combat Team, 1st Cavalry Division",05,B,6A,,,Insignia,06/22/2014,W3JPW6,"2nd Armored Brigade Combat Team, 1st Cavalry Division","Bldg 7348, HQ",Fort Hood,Fort Hood,TX,11549,Unit activation,"Request insignia items for 2nd Armored Brigade Combat Team, 1st Cavalry Division. Ceremony scheduled; items required on hand 30 days prior.",3,53.16,03/24/2014,CN=Terrence Figueroa-Paz/OU=Units/O=Army,03/26/2014 15:08:00,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,04/16/2014 22:08:00,5KSB9,Keystone Banner Works,04/22/2014 01:08:00,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,07/06/2014,,,,03/24/2014 10:08 | (new) -> Draft | Terrence Figueroa-Paz;03/26/2014 15:08 | Draft -> Submitted | Terrence Figueroa-Paz;04/04/2014 19:08 | Submitted -> Under Review | Lorraine Whitcombe;04/16/2014 22:08 | Under Review -> Approved | Lorraine Whitcombe;04/22/2014 01:08 | Approved -> Released to Vendor | Lorraine Whitcombe;05/03/2014 05:08 | Released to Vendor -> In Production | Vendor Portal;06/24/2014 06:08 | In Production -> Shipped | Vendor Portal;07/01/2014 12:08 | Shipped -> Complete | Dwayne Petrakis,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;5KSB9,[TACOM];[Admin],Expedite,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,07/01/2014 12:08:00,W3JPW640836324|W3JPW6|WQDL80,Terrence Figueroa-Paz,CPT,Property Book Officer,(703) 555-1492,terrence.figueroa.mil@example.mil
44092288091E9D31F20F37A859E1FD32,10FE,,07/31/2026 11:53:30,08/03/2026 14:53:30,CN=Walter Zellinger/OU=Units/O=Army,,WTXVTW62122177,Submitted,WTXVTW,W04SMA,2nd Cavalry Regiment,15,J,AB,,,Streamer,09/29/2026,WTXVTW,2nd Cavalry Regiment,"Bldg 4426, Property Book Office","Rose Barracks, Vilseck",Vilseck,DE,52746,Lineage and honors update,Request streamer items for 2nd Cavalry Regiment. Streamers authorized per CMH lineage and honors certificate dated 08/19/2003.,2,100.90,07/31/2026,CN=Walter Zellinger/OU=Units/O=Army,08/03/2026 14:53:30,,,,,,,,,,,07/31/2026 11:53 | (new) -> Draft | Walter Zellinger;08/03/2026 14:53 | Draft -> Submitted | Walter Zellinger,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;DODAAC-WTXVTW;CN=Walter Zellinger/OU=Units/O=Army,CN=Walter Zellinger/OU=Units/O=Army;[TACOM],Routine,CN=Walter Zellinger/OU=Units/O=Army,08/03/2026 14:53:30,WTXVTW62122177|WTXVTW|W04SMA,Walter Zellinger,2LT,Protocol Officer,(302) 555-1093,walter.zellinger.mil@example.mil
91899A863CCA7FAD0118D0CA458073A7,1106,,03/04/2024 10:57:16,06/05/2024 03:57:16,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W60RK640647093,Complete,W60RK6,WY08M0,25th Combat Aviation Brigade,13,B,2B,3AZ,,Positional Color,06/02/2024,W60RK6,25th Combat Aviation Brigade,"Bldg 7386, S4",Wheeler Army Airfield,Wheeler Army Airfield,HI,67298,Replacement - unserviceable,Request positional color items for 25th Combat Aviation Brigade. Existing items unserviceable due to fading and fraying.,4,3336.74,03/04/2024,CN=Tyler Escobedo-Ruiz/OU=Units/O=Army,03/06/2024 13:57:16,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,03/22/2024 15:57:16,0PLE4,"Old Line Embroidery, Inc.",03/29/2024 20:57:16,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,06/27/2024,,,,03/04/2024 10:57 | (new) -> Draft | Tyler Escobedo-Ruiz;03/06/2024 13:57 | Draft -> Submitted | Tyler Escobedo-Ruiz;03/16/2024 14:57 | Submitted -> Under Review | Theodore Blankenship;03/22/2024 15:57 | Under Review -> Approved | Theodore Blankenship;03/29/2024 20:57 | Approved -> Released to Vendor | Lorraine Whitcombe;04/01/2024 20:57 | Released to Vendor -> In Production | Vendor Portal;05/15/2024 01:57 | In Production -> Shipped | Vendor Portal;06/05/2024 03:57 | Shipped -> Complete | Dwayne Petrakis,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;0PLE4,[TACOM];[Admin],Routine,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,06/05/2024 03:57:16,W60RK640647093|W60RK6|WY08M0,Tyler Escobedo-Ruiz,CPT,Supply Sergeant,(717) 555-1126,tyler.escobedo.mil@example.mil
5EE5E8186783ECF70E4E43B3DBD3388B,111A,,08/28/2026 15:41:13,08/31/2026 23:30:00,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WBM3V662405108,Released to Vendor,WBM3V6,W8PC8A,"3rd Infantry Brigade Combat Team, 25th Infantry Division",03,M,2C,3AH,,Streamer,11/26/2026,WBM3V6,"3rd Infantry Brigade Combat Team, 25th Infantry Division","Bldg 2947, Supply",Schofield Barracks,Schofield Barracks,HI,34861,Unit activation,"Request streamer items for 3rd Infantry Brigade Combat Team, 25th Infantry Division. Streamers authorized per CMH lineage and honors certificate dated 03/30/2011.",1,161.91,08/28/2026,CN=Brandon Palomares/OU=Units/O=Army,08/28/2026 17:41:13,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,08/30/2026 20:30:00,8BLU5,Blue Ridge Emblem Company,08/31/2026 23:30:00,CN=Ret Hamlin/OU=CHPSID/O=TACOM,11/14/2026,,,,08/28/2026 15:41 | (new) -> Draft | Brandon Palomares;08/28/2026 17:41 | Draft -> Submitted | Brandon Palomares;08/31/2026 01:30 | Submitted -> Under Review | Theodore Blankenship;08/30/2026 20:30 | Under Review -> Approved | Theodore Blankenship;08/31/2026 23:30 | Approved -> Released to Vendor | Ret Hamlin,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;8BLU5,[TACOM];[Admin],Expedite,CN=Ret Hamlin/OU=CHPSID/O=TACOM,08/31/2026 23:30:00,WBM3V662405108|WBM3V6|W8PC8A,Brandon Palomares,SFC,Protocol Officer,(410) 555-1577,brandon.palomares.mil@example.mil
5B84410EFEAEA17932AA231615B684A8,1122,,09/04/2024 07:21:54,11/17/2024 03:21:54,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W3Z4SG42480759,Complete,W3Z4SG,WQZP2A,18th Field Artillery Brigade,09,M,2A,HER,,Streamer,11/03/2024,W3Z4SG,18th Field Artillery Brigade,"Bldg 2552, Supply",Fort Bragg,Fort Bragg,NC,60451,Change of command ceremony,Request streamer items for 18th Field Artillery Brigade. Unit reflagged per HQDA order.,2,283.65,09/04/2024,CN=Evelyn Jarvinen-Roe/OU=Units/O=Army,09/04/2024 12:21:54,CN=Ret Hamlin/OU=CHPSID/O=TACOM,09/20/2024 14:21:54,1CLR7,Liberty Colors LLC,09/21/2024 16:21:54,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,11/20/2024,,,,09/04/2024 07:21 | (new) -> Draft | Evelyn Jarvinen-Roe;09/04/2024 12:21 | Draft -> Submitted | Evelyn Jarvinen-Roe;09/08/2024 13:21 | Submitted -> Under Review | Ret Hamlin;09/20/2024 14:21 | Under Review -> Approved | Ret Hamlin;09/21/2024 16:21 | Approved -> Released to Vendor | Lorraine Whitcombe;09/28/2024 20:21 | Released to Vendor -> In Production | Vendor Portal;11/03/2024 21:21 | In Production -> Shipped | Vendor Portal;11/17/2024 03:21 | Shipped -> Complete | Dwayne Petrakis,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;1CLR7,[TACOM];[Admin],Routine,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,11/17/2024 03:21:54,W3Z4SG42480759|W3Z4SG|WQZP2A,Evelyn Jarvinen-Roe,MSG,Property Book Officer,(856) 555-1443,evelyn.jarvinen.mil@example.mil
