UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,SESFlagNumber,Status,ExecutiveName,ExecutiveTitle,ExecutiveTier,Organization,FlagType,Quantity,DODAAC,UIC,ShipToAddress,Justification,EnteredDate,EnteredBy,ApprovalDate,ApprovedBy,ReturnReason,VendorKey,ReleasedDate,DocReaders,DocAuthors,StatusInquiryKey
B226686B9B417599AEA0EE0ED1D7C706,3C42,,01/07/2015 14:12:00,02/02/2015 14:12:00,CN=Ret Hamlin/OU=CHPSID/O=TACOM,SF50_0001.pdf,SES-2015-0001,Complete,Frances Coldwater,Principal Deputy,Tier 2,Army Materiel Command G-3/4,SES Desk Flag Set,1,WWY02J,WQT35A,"3rd Armored Brigade Combat Team, 1st Armored Division, Bldg 4171, Fort Bliss, TX",Replacement - unserviceable,01/07/2015,CN=Jessica Quarterman/OU=Units/O=Army,01/13/2015 14:12:00,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,7GRN1,01/23/2015 14:12:00,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Jessica Quarterman/OU=Units/O=Army,[TACOM];[SESApprover],SES-2015-0001|WWY02J|WQT35A
88E244681AB59B1A1477A5A5C3CC2638,3C46,,11/21/2025 17:58:33,11/21/2025 17:58:33,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,SES-2025-0002,Submitted,Ernesto Jaramillo,"Director, Integrated Logistics Support Center",Tier 1,Office of the Chief Information Officer/G-6,SES Positional Color (Indoor),2,WM0U6T,W46N00,"101st Airborne Division Sustainment Brigade, Bldg 1650, Fort Campbell, KY",Ceremony,11/21/2025,CN=Eugene Jaramillo/OU=Units/O=Army,,,,,,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Eugene Jaramillo/OU=Units/O=Army,[TACOM];[SESApprover],SES-2025-0002|WM0U6T|W46N00
916A8879A4E9A5C43841F1CFEB10F00C,3C4A,,02/19/2016 12:38:54,03/08/2016 12:38:54,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,SES-2016-0003,Complete,Joshua Yeardley,Principal Deputy,Tier 3,Army Sustainment Command,SES Desk Flag Set,2,WUB92Z,WJ25M0,"U.S. Army Forces Command, Bldg 4027, Fort Bragg, NC",Change of duty station,02/19/2016,CN=Thomas Gastrelle/OU=Units/O=Army,02/28/2016 12:38:54,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,9CST0,03/02/2016 12:38:54,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Thomas Gastrelle/OU=Units/O=Army,[TACOM];[SESApprover],SES-2016-0003|WUB92Z|WJ25M0
DD6BA8A42070DB3AD10A9A59F6451FCA,3C4E,,04/24/2006 08:46:26,06/16/2006 08:46:26,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,SES-2006-0004,Complete,Sandra Villanueva-Cox,"Director, Integrated Logistics Support Center",Tier 1,Program Executive Office Ground Combat Systems,SES Positional Color (Indoor),1,WB8QWH,W3TWRA,"81st Readiness Division (Army Reserve), Bldg 7071, Fort Jackson, SC",Ceremony,04/24/2006,CN=Thomas Ledesma-Ortiz/OU=Units/O=Army,05/04/2006 08:46:26,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,1CLR7,05/07/2006 08:46:26,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Thomas Ledesma-Ortiz/OU=Units/O=Army,[TACOM];[SESApprover],SES-2006-0004|WB8QWH|W3TWRA
F4E3296C6B77CF4D92FE6B345E4CC570,3C52,,12/11/2018 09:15:59,12/22/2018 09:15:59,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,SF50_0005.pdf,SES-2018-0005,Complete,Patricia Whitlock-Bay,Principal Deputy,Tier 2,Program Executive Office Soldier,SES Positional Color (Indoor),1,W5KNYG,W08YQ0,"1st Armored Brigade Combat Team, 1st Infantry Division, Bldg 252, Fort Riley, KS",Tier promotion,12/11/2018,CN=Timothy Marrowbridge/OU=Units/O=Army,12/16/2018 09:15:59,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,9CST0,12/21/2018 09:15:59,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Timothy Marrowbridge/OU=Units/O=Army,[TACOM];[SESApprover],SES-2018-0005|W5KNYG|W08YQ0
F81A66B6D8AA644B7D4AF0FF824D5FCB,3C56,,03/07/2018 08:47:45,04/06/2018 08:47:45,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,SES-2018-0006,Complete,Joshua Bramwold,Principal Deputy,Tier 3,Office of the Chief Information Officer/G-6,SES Positional Color (Indoor),1,WAHNPF,WS4NNA,"82nd Airborne Division Sustainment Brigade, Bldg 210, Fort Bragg, NC",Change of duty station,03/07/2018,CN=Earl Hargreave/OU=Units/O=Army,03/25/2018 08:47:45,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,1CLR7,03/26/2018 08:47:45,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Earl Hargreave/OU=Units/O=Army,[TACOM];[SESApprover],SES-2018-0006|WAHNPF|WS4NNA
F45D703B2F61A9D96D9BACE507439639,3C5A,,12/15/2025 12:23:06,01/04/2026 12:23:06,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,SF50_0007.pdf,SES-2025-0007,Approved,Richard Reyes-Almonte,Deputy Program Executive Officer,Tier 3,Office of the Chief Information Officer/G-6,SES Positional Color (Outdoor),1,WVE4QZ,WCE510,"I Corps Headquarters and Headquarters Battalion, Bldg 6449, Joint Base Lewis-McChord, WA",Tier promotion,12/15/2025,CN=Jamal Galbreath/OU=Units/O=Army,01/04/2026 12:23:06,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,,,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Jamal Galbreath/OU=Units/O=Army,[TACOM];[SESApprover],SES-2025-0007|WVE4QZ|WCE510
1BFBE0081451461E872F687E62FB6C81,3C5E,,11/21/2011 17:47:21,12/28/2011 17:47:21,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,SF50_0008.pdf,SES-2011-0008,Shipped,Brandon Tarquinio,Deputy to the Commanding General,Tier 3,Army Sustainment Command,SES Positional Color (Indoor),1,WH9EE8,WRD9YA,"1st Armored Division Headquarters and Headquarters Battalion, Bldg 2116, Fort Bliss, TX",Change of duty station,11/21/2011,CN=Susan Dellacroix/OU=Units/O=Army,12/01/2011 17:47:21,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,7GRN1,12/10/2011 17:47:21,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Susan Dellacroix/OU=Units/O=Army,[TACOM];[SESApprover],SES-2011-0008|WH9EE8|WRD9YA
F238D9C293721FD8C18DF54EAF84975F,3C62,,11/09/2021 10:57:12,01/01/2022 10:57:12,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,SF50_0009.pdf,SES-2021-0009,Complete,Jeffrey Ostrowski-Lane,"Director, Integrated Logistics Support Center",Tier 3,Army Materiel Command G-3/4,SES Positional Color (Indoor),1,W02D75,WZQ3WA,"29th Infantry Division (Virginia Army National Guard), Bldg 6316, Fort Belvoir, VA",Replacement - unserviceable,11/09/2021,CN=Melissa Saldivar/OU=Units/O=Army,11/25/2021 10:57:12,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,7GRN1,12/04/2021 10:57:12,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Melissa Saldivar/OU=Units/O=Army,[TACOM];[SESApprover],SES-2021-0009|W02D75|WZQ3WA
50972821F139CB9D9DFBF33552A7573A,3C66,,01/15/2026 09:40:20,02/09/2026 09:40:20,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,SF50_0010.pdf,SES-2026-0010,Released to Vendor,Donald Hinojosa-Mata,Deputy to the Commanding General,Tier 3,TACOM ILSC,SES Positional Color (Indoor),1,WC16QN,W0WFNA,"Military District of Washington, Bldg 1513, Fort McNair, DC",Change of duty station,01/15/2026,CN=Melissa Trevino-Hale/OU=Units/O=Army,02/03/2026 09:40:20,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,7GRN1,02/09/2026 09:40:20,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[SESApprover];CN=Melissa Trevino-Hale/OU=Units/O=Army,[TACOM];[SESApprover],SES-2026-0010|WC16QN|W0WFNA
