UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentCaseNumber,ParentUNID,VeteranName,LineNumber,AwardName,AwardCode,AwardCategory,Quantity,SetType,Devices,DeviceCount,Engrave,EngravingText,StockNumber,LineStatus,BackorderETA,Authority,DocReaders,LineKey
49C14C7503073C374FD6A1A3061C6D82,300E,396DB83272693302B0B36AF65CC9277A,04/16/2026 08:42:44,05/01/2026 15:41:44,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2026-000001,396DB83272693302B0B36AF65CC9277A,"Delgadillo, Jeffrey",1,Philippine Liberation Medal,PLM,Foreign Award,1,Full Size,,0,No,,8455-00-343-6325,Shipped,,"DD Form 214, block 13",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2026-000001|01
4B16FB5FCA37DD362915630E2ACD12DE,3012,396DB83272693302B0B36AF65CC9277A,04/16/2026 08:43:44,05/01/2026 15:41:44,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2026-000001,396DB83272693302B0B36AF65CC9277A,"Delgadillo, Jeffrey",2,Air Medal,AM,Decoration,1,Full Size,,0,Yes,J. J. DELGADILLO,8455-00-633-2402,Shipped,,"DD Form 214, block 13",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2026-000001|02
4A892F9FFD3B2587F018044298DDACA6,3016,396DB83272693302B0B36AF65CC9277A,04/16/2026 08:44:44,05/01/2026 15:41:44,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2026-000001,396DB83272693302B0B36AF65CC9277A,"Delgadillo, Jeffrey",3,American Defense Service Medal,ADSM,Campaign Medal,1,Ribbon Only,,0,No,,8455-00-601-1243,Shipped,,"General Orders No. 92, 1947",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2026-000001|03
720FD66931DFEE7B965E38D3C7986CC5,301A,396DB83272693302B0B36AF65CC9277A,04/16/2026 08:45:44,05/01/2026 15:41:44,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2026-000001,396DB83272693302B0B36AF65CC9277A,"Delgadillo, Jeffrey",4,Combat Medical Badge,CMB,Badge,1,Full Size,,0,No,,8455-00-607-9288,Shipped,,"DD Form 214, block 13",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2026-000001|04
87073C2BFD79B11D77DB8DF09ADE6F18,3022,4B93394EE3E8C150EC1AF99ED0104330,02/18/2015 10:42:50,03/12/2015 21:41:50,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,VMA-2015-000001,4B93394EE3E8C150EC1AF99ED0104330,"Yarrowdale, Luis",1,Meritorious Unit Commendation,MUC,Appurtenance,1,Full Size,,0,No,,8455-00-726-2124,Shipped,,HRC Awards and Decorations Branch memo,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2015-000001|01
09C384DC55245B134511BAF361BF51BF,3026,4B93394EE3E8C150EC1AF99ED0104330,02/18/2015 10:43:50,03/12/2015 21:41:50,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,VMA-2015-000001,4B93394EE3E8C150EC1AF99ED0104330,"Yarrowdale, Luis",2,BSM w/V,GCM,Service Medal,1,Full Size + Miniature + Lapel,,0,No,,8455-00-284-6367,Shipped,,HRC Awards and Decorations Branch memo,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2015-000001|02
CC12A589F504CBF962C87602A3AA5AC9,302E,14CF970A09A136DC489C3369EB304738,03/27/2017 14:10:49,05/13/2017 02:09:49,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2017-000001,14CF970A09A136DC489C3369EB304738,"Cartlewood, Justin",1,Overseas Service Ribbon,OSR,Ribbon,1,Full Size,,0,No,,8455-00-163-6985,Shipped,,DA Form 1577,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2017-000001|01
E20E1937C05E3F55ABDD168BA8621F91,3032,14CF970A09A136DC489C3369EB304738,03/27/2017 14:11:49,05/13/2017 02:09:49,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2017-000001,14CF970A09A136DC489C3369EB304738,"Cartlewood, Justin",2,Bronze Star Medal,BSM,Decoration,1,Full Size + Miniature + Lapel,V Device,1,Yes,J. CARTLEWOOD,8455-00-196-5774,Shipped,,HRC Awards and Decorations Branch memo,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2017-000001|02
67939A90A41A6046129549629706CA15,3036,14CF970A09A136DC489C3369EB304738,03/27/2017 14:12:49,05/13/2017 02:09:49,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2017-000001,14CF970A09A136DC489C3369EB304738,"Cartlewood, Justin",3,Iraq Campaign Medal,ICM,Campaign Medal,1,Full Size + Miniature + Lapel,Arrowhead,1,No,,8455-00-834-4617,Shipped,,DA Form 1577,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2017-000001|03
DC7AE83B3B4A324738477FB2D6996037,303A,14CF970A09A136DC489C3369EB304738,03/27/2017 14:13:49,05/13/2017 02:09:49,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2017-000001,14CF970A09A136DC489C3369EB304738,"Cartlewood, Justin",4,Combat Action Badge,CAB,Badge,1,Full Size,,0,No,,8455-00-265-4545,Backordered,09/28/2026,"DD Form 214, block 13",[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,VMA-2017-000001|04
