UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,CaseNumber,Stage,Source,AuthFileName,AuthFileLine,AuthorizationDate,EnteredDate,EnteredBy,Priority,ServiceNumber,VeteranLastName,VeteranFirstName,VeteranMI,VeteranRank,Branch,ServiceFrom,ServiceTo,Era,Deceased,RequesterKey,RequesterName,Relationship,AssignedCSR,LineCount,EngravingRequired,EngravingDate,EngravingJobNumber,AssemblyDate,QCResult,WarehouseDate,PickBin,ShippedDate,TrackingNumber,ClosedDate,DaysOpen,AgingFlag,HoldReason,StageBeforeHold,ShipToName,ShipToStreet,ShipToCity,ShipToState,ShipToZIP,Remarks,StatusHistory,DocReaders,DocAuthors,LookupKey,DaysInStage,LastModifiedBy,LastModifiedDate,AgingLastEval
396DB83272693302B0B36AF65CC9277A,300A,,04/16/2026 08:41:44,05/01/2026 15:41:44,CN=HAAS-APP01/O=TACOM,,VMA-2026-000001,Shipped,NPRC,nprc_awd_20050412_b12.dat,198,04/12/2005,04/16/2026,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,39 678 360,Delgadillo,Jeffrey,J,CPL,Army Air Forces,12/25/1943,04/01/1947,World War II,Yes,RQ001558,Arthur Delgadillo,Spouse,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,4,Yes,04/20/2026 09:41:44,ENG-2026-00001,04/26/2026 10:41:44,Pass,04/28/2026 15:41:44,D-12-6,05/01/2026 15:41:44,9405 5744 6038 1430 7934 26,,138,Red,,,Arthur Delgadillo,7385 Ridgway Way,Fayetteville,NC,28387,NOK provided DD-214 copy.,04/16/2026 08:41 | (new) -> Authorized | HRC-Transfer;04/20/2026 09:41 | Authorized -> Engraving | Ret Hamlin;04/26/2026 10:41 | Engraving -> Assembly/QC | Oswaldo Ferreira-Lund;04/28/2026 15:41 | Assembly/QC -> Warehouse | Ignatius Pardo;05/01/2026 15:41 | Warehouse -> Shipped | Cletus Marchbanks;08/31/2026 02:18 | AgingFlag -> Red (138 days) | NightlyAging,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],DELGADILLO|JEFFREY|28387,123,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,05/01/2026 15:41:44,09/01/2026 02:30:00
4B93394EE3E8C150EC1AF99ED0104330,301E,,02/18/2015 10:41:50,03/12/2015 21:41:50,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,VMA-2015-000001,Closed,HRC,HRC_AWD_20121203_9.txt,60,12/03/2012,02/18/2015,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,RA 13 865 211,Yarrowdale,Luis,C,1LT,Regular Army,10/24/1970,12/11/1974,Vietnam,Yes,RQ001113,Tyler Yarrowdale,Grandchild,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,2,No,,,03/01/2015 14:41:50,Pass,03/04/2015 18:41:50,B-22-6,03/05/2015 19:41:50,9405 5657 2215 3247 3289 23,03/12/2015 21:41:50,22,,,,Tyler Yarrowdale,8468 Walnut St,Birmingham,AL,35213-3969,,02/18/2015 10:41 | (new) -> Authorized | HRC-Transfer;03/01/2015 14:41 | Authorized -> Assembly/QC | Renata Vasquez-Holm;03/04/2015 18:41 | Assembly/QC -> Warehouse | Tamsin Greylock;03/05/2015 19:41 | Warehouse -> Shipped | Yolanda Strickland-Oby;03/12/2015 21:41 | Shipped -> Closed | Benedetta Kowalczyk,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],YARROWDALE|LUIS|35213,0,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,03/12/2015 21:41:50,
14CF970A09A136DC489C3369EB304738,302A,,03/27/2017 14:09:49,05/13/2017 02:09:49,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2017-000001,Closed,Congressional,,,03/06/2017,03/27/2017,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,Congressional,***-**-5197,Cartlewood,Justin,,CW3,Army Reserve,08/26/2002,03/31/2013,Global War on Terrorism,No,RQ001634,Justin Cartlewood,Self,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,4,Yes,04/02/2017 15:09:49,ENG-2017-00002,04/13/2017 19:09:49,Pass,04/18/2017 22:09:49,G-12-6,04/21/2017 02:09:49,9405 5804 4257 1239 3380 18,05/13/2017 02:09:49,47,,,,Justin Cartlewood,7573 Chestnut Ave,Toledo,OH,43674,NOK provided DD-214 copy.,03/27/2017 14:09 | (new) -> Authorized | Renata Vasquez-Holm;04/02/2017 15:09 | Authorized -> Engraving | Lorraine Whitcombe;04/13/2017 19:09 | Engraving -> Assembly/QC | Oswaldo Ferreira-Lund;04/18/2017 22:09 | Assembly/QC -> Warehouse | Ignatius Pardo;04/21/2017 02:09 | Warehouse -> Shipped | Yolanda Strickland-Oby;05/13/2017 02:09 | Shipped -> Closed | Marlene Okafor,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],CARTLEWOOD|JUSTIN|43674,0,CN=Marlene Okafor/OU=CHPSID/O=TACOM,05/13/2017 02:09:49,
ED578A7EFAFFFA5AB3E02124D8F64E01,303E,,06/01/2026 08:32:57,06/19/2026 09:32:57,CN=HAAS-APP01/O=TACOM,,VMA-2026-000002,Engraving,HRC,HRC_AWD_20210621_1.txt,223,06/21/2021,06/01/2026,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,***-**-5031,Pettiford,Margaret,C,CW2,Army National Guard,01/10/2012,06/23/2022,Global War on Terrorism,No,RQ001064,Margaret Pettiford,Self,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,1,No,,,06/19/2026 09:32:57,,,,,,,92,Red,,,Margaret Pettiford,7664 Washington St,Columbia,SC,29206,,06/01/2026 08:32 | (new) -> Authorized | HRC-Transfer;06/19/2026 09:32 | Authorized -> Assembly/QC | Dwayne Petrakis;08/31/2026 02:41 | AgingFlag -> Red (92 days) | NightlyAging,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],PETTIFORD|MARGARET|29206,74,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,06/19/2026 09:32:57,09/01/2026 02:30:00
AD4C14B8758FCD71777DCAFDD26E3CCD,3046,,01/01/2024 15:16:56,01/29/2024 23:16:56,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2024-000001,Closed,Congressional,,,12/02/2023,01/01/2024,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,Congressional,RA 16 567 797,Yellowley,Frances,,T/4,Army National Guard,08/12/1948,10/23/1951,Korea,Yes,RQ001773,Amanda Yellowley,Spouse,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,6,No,,,01/04/2024 17:16:56,Pass,01/07/2024 20:16:56,B-13-6,01/08/2024 22:16:56,9405 5145 7235 1402 3155 22,01/29/2024 23:16:56,28,,,,Amanda Yellowley,1742 Dogwood Blvd Apt 1B,Columbia,SC,29261,NOK provided DD-214 copy.,01/01/2024 15:16 | (new) -> Authorized | Dwayne Petrakis;01/04/2024 17:16 | Authorized -> Assembly/QC | Marlene Okafor;01/07/2024 20:16 | Assembly/QC -> Warehouse | Ignatius Pardo;01/08/2024 22:16 | Warehouse -> Shipped | Yolanda Strickland-Oby;01/29/2024 23:16 | Shipped -> Closed | Marlene Okafor,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],YELLOWLEY|FRANCES|29261,0,CN=Marlene Okafor/OU=CHPSID/O=TACOM,01/29/2024 23:16:56,
5B1F74DBE945F652613DFFD6EA516036,3062,,07/27/2006 11:17:58,09/04/2006 02:17:58,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2006-000001,Complete,Manual,,,07/15/2006,07/27/2006,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,Routine,***-**-4479,Hinojosa,Lisa,J,1SG,Army Reserve,01/24/1987,11/04/1992,Gulf War,No,RQ002459,Darnell Hinojosa-Mata,Son,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,2,No,,,08/14/2006 14:17:58,Pass,08/16/2006 16:17:58,C-22-3,08/19/2006 21:17:58,9405 5387 2028 9133 2194 28,09/04/2006 02:17:58,39,,,,Darnell Hinojosa-Mata,9229 Elm Ter Apt 11D,Louisville,KY,40238-6642,Requester called to confirm address.,07/27/2006 11:17 | (new) -> Authorized | Benedetta Kowalczyk;08/14/2006 14:17 | Authorized -> Assembly/QC | Dwayne Petrakis;08/16/2006 16:17 | Assembly/QC -> Warehouse | Tamsin Greylock;08/19/2006 21:17 | Warehouse -> Shipped | Cletus Marchbanks;09/04/2006 02:17 | Shipped -> Closed | Ret Hamlin,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],HINOJOSA|LISA|40238,0,CN=Ret Hamlin/OU=CHPSID/O=TACOM,09/04/2006 02:17:58,
8BE5BEFBDF1AD860522A2F5560601802,306E,,05/13/2026 08:39:57,05/22/2026 13:39:57,CN=HAAS-APP01/O=TACOM,,VMA-2026-000003,Engraving,NPRC,nprc_awd_20210223_b22.dat,252,02/23/2021,05/13/2026,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,***-**-4952,Lockridge,Carol,L,SSG,Regular Army,04/16/2004,12/01/2013,Global War on Terrorism,No,RQ000658,Heather Lockridge,Son,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,1,No,,,05/22/2026 13:39:57,Pass,,,,,,111,Red,,,Heather Lockridge,5424 Maple Dr,Pittsburgh,PA,15286,,05/13/2026 08:39 | (new) -> Authorized | HRC-Transfer;05/22/2026 13:39 | Authorized -> Assembly/QC | Benedetta Kowalczyk;08/31/2026 02:39 | AgingFlag -> Red (111 days) | NightlyAging,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],LOCKRIDGE|CAROL|15286,102,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,05/22/2026 13:39:57,09/01/2026 02:30:00
FF561D80DB3B10E2002C76E48FD2B46E,3076,,11/23/2005 09:00:15,01/05/2006 20:00:15,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2005-000001,Complete,NPRC,nprc_awd_20050412_b12.dat,331,04/12/2005,11/23/2005,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,RA 16 997 316,Underhill,Ryan,G,SFC,Army of the United States,07/07/1973,11/28/1976,Vietnam,Yes,RQ000745,Charles Underhill-Voss,Daughter,CN=Ret Hamlin/OU=CHPSID/O=TACOM,2,No,,,12/05/2005 09:00:15,Pass,12/14/2005 12:00:15,D-08-6,12/20/2005 16:00:15,9405 5414 9043 3322 5650 57,01/05/2006 20:00:15,43,,,,Charles Underhill-Voss,5715 Poplar Ct,Milwaukee,WI,53292,,11/23/2005 09:00 | (new) -> Authorized | HRC-Transfer;12/05/2005 09:00 | Authorized -> Assembly/QC | Marlene Okafor;12/14/2005 12:00 | Assembly/QC -> Warehouse | Tamsin Greylock;12/20/2005 16:00 | Warehouse -> Shipped | Yolanda Strickland-Oby;01/05/2006 20:00 | Shipped -> Closed | Dwayne Petrakis,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],UNDERHILL|RYAN|53292,0,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,01/05/2006 20:00:15,
18A589F62F3E56A16952E990F11C27BD,3082,,03/09/2026 15:22:40,03/29/2026 20:22:40,CN=HAAS-APP01/O=TACOM,,VMA-2026-000004,On Hold,NPRC,nprc_awd_20080321_b43.dat,217,03/21/2008,03/09/2026,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,RA 12 350 944,Pettiford,Sandra,J,MSG,Army of the United States,09/11/1973,05/25/1978,Vietnam,No,RQ002168,Sandra Pettiford,Self,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,3,No,,,03/13/2026 15:22:40,Pass,,,,,,176,Red,Award eligibility query sent to HRC,Assembly/QC,Sandra Pettiford,3322 Cedar Ln,Jacksonville,FL,32236-4570,Requester called to confirm address.,03/09/2026 15:22 | (new) -> Authorized | HRC-Transfer;03/13/2026 15:22 | Authorized -> Assembly/QC | Ret Hamlin;03/29/2026 20:22 | Assembly/QC -> On Hold | Lorraine Whitcombe;08/31/2026 02:25 | AgingFlag -> Red (176 days) | NightlyAging,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],PETTIFORD|SANDRA|32236,156,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,03/29/2026 20:22:40,09/01/2026 02:30:00
9C8B9D7E05A9BA68E1E4556947C1D7EC,3092,,01/15/2024 14:37:05,02/22/2024 00:37:05,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2024-000002,Closed,NPRC,nprc_awd_20120810_b62.dat,33,08/10/2012,01/15/2024,CN=HRC-Transfer/OU=Agents/O=TACOM,Routine,36 492 312,Delgadillo,Daniel,,S/SGT,Army of the United States,06/25/1942,03/18/1946,World War II,Yes,RQ001558,Arthur Delgadillo,Spouse,CN=Marlene Okafor/OU=CHPSID/O=TACOM,2,No,,,01/25/2024 18:37:05,Pass,02/03/2024 18:37:05,B-21-6,02/09/2024 22:37:05,9405 5888 6433 7075 3965 71,02/22/2024 00:37:05,38,,,,Arthur Delgadillo,7385 Ridgway Way,Fayetteville,NC,28387,,01/15/2024 14:37 | (new) -> Authorized | HRC-Transfer;01/25/2024 18:37 | Authorized -> Assembly/QC | Lorraine Whitcombe;02/03/2024 18:37 | Assembly/QC -> Warehouse | Tamsin Greylock;02/09/2024 22:37 | Warehouse -> Shipped | Yolanda Strickland-Oby;02/22/2024 00:37 | Shipped -> Closed | Marlene Okafor,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Marlene Okafor/OU=CHPSID/O=TACOM,[TACOM];[CSR];[Admin],DELGADILLO|DANIEL|28387,0,CN=Marlene Okafor/OU=CHPSID/O=TACOM,02/22/2024 00:37:05,
