UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentCaseNumber,ParentUNID,NoteType,ContactName,ContactPhone,Body,Summary,FollowUpDate,FollowUpDone,NoteAuthor,NoteDate,DocReaders,DocAuthors
9CFD2C99B8F7471D79FDA7A4C4F0EF47,F4EA,0D3949B08DFCAAF63F27E7A49ADC8A53,04/10/2011 21:57:54,04/10/2011 21:57:54,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2011-000060,0D3949B08DFCAAF63F27E7A49ADC8A53,Phone Call - Inbound,Clarence GREAVES-TOLAN,(410) 555-1798,Requester called for status. See attached correspondence.,Requester called for status,,Yes,CN=Marlene Okafor/OU=CHPSID/O=TACOM,04/10/2011 21:57:54,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Marlene Okafor/OU=CHPSID/O=TACOM;[Admin]
B96208930E4C8C34B54452DCF6FC91D5,F4EE,1E7402E7D13765F8CA6DBC0E99517453,05/30/2026 10:14:57,05/30/2026 10:14:57,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2026-000329,1E7402E7D13765F8CA6DBC0E99517453,HRC Query,,,Sent eligibility query to HRC Awards Branch. Requester satisfied.,Sent eligibility query to HRC Awards Branch,,Yes,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,05/30/2026 10:14:57,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
359D8EB105447513CB6EB08FABD38A82,F4F2,C5D7B3B121A57DCB5C511D6BA99AD724,07/15/2025 12:04:00,07/15/2025 12:04:00,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2025-000086,C5D7B3B121A57DCB5C511D6BA99AD724,NPRC Query,,,Requested OMPF verification from NPRC. No further action.,Requested OMPF verification from NPRC,,,CN=Ret Hamlin/OU=CHPSID/O=TACOM,07/15/2025 12:04:00,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Ret Hamlin/OU=CHPSID/O=TACOM;[Admin]
14DA7305D33F646D4C01B8720824E4E9,F4F6,AFEF27F093C211EC6F0FEFD52EF004AA,10/08/2010 13:36:35,10/08/2010 13:36:35,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2010-000047,AFEF27F093C211EC6F0FEFD52EF004AA,NOK Documentation,,,Death certificate / relationship proof received. See attached correspondence.,Death certificate / relationship proof received,,,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,10/08/2010 13:36:35,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM;[Admin]
62175B7304579EF6A068E8B0E7664D7E,F4FA,8D908CA3CB2CD68D527427E139339C8E,05/26/2010 12:36:53,05/26/2010 12:36:53,CN=Marlene Okafor/OU=CHPSID/O=TACOM,,VMA-2010-000051,8D908CA3CB2CD68D527427E139339C8E,NOK Documentation,,,Death certificate / relationship proof received. Follow-up required.,Death certificate / relationship proof received,,Yes,CN=Marlene Okafor/OU=CHPSID/O=TACOM,05/26/2010 12:36:53,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Marlene Okafor/OU=CHPSID/O=TACOM;[Admin]
393F7E519B7A80972233DE39B9BA5B77,F4FE,795070B49F4E6E103D443505516A8315,12/29/2015 13:26:48,12/29/2015 13:26:48,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2015-000062,795070B49F4E6E103D443505516A8315,Backorder,,,Item backordered - requester notified. Escalated to lead CSR.,Item backordered - requester notified,,Yes,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,12/29/2015 13:26:48,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Marlene Okafor/OU=CHPSID/O=TACOM,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM;[Admin]
30BB6BE6CB45BBFB42E9C0FFCA6431B5,F502,21009D765E6EFF4FDA0F6BA8A8F2D2F0,09/17/2006 09:38:33,09/17/2006 09:38:33,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,Correspondence_VMA-2006-000035.pdf,VMA-2006-000035,21009D765E6EFF4FDA0F6BA8A8F2D2F0,Congressional Inquiry,,,Congressional inquiry received - response due 10 days. Requester satisfied.,Congressional inquiry received - response due 10 days,09/23/2006,Yes,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,09/17/2006 09:38:33,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
EC48DA71015FC09DB1D90C163D455D3F,F506,D4EAC0676D46D33DC96EA85BE173D077,08/25/2017 00:20:31,08/25/2017 00:20:31,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2017-000047,D4EAC0676D46D33DC96EA85BE173D077,QC Rework,,,"QC failed - engraving misspelled, returned to shop. Escalated to lead CSR.","QC failed - engraving misspelled, returned to shop",,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,08/25/2017 00:20:31,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
618A5F34CCBF8EE10A2ED275DB9BED05,F50A,595A7A1FF777AB9F34B4B2BE97EC1655,11/23/2012 15:00:58,11/23/2012 15:00:58,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2012-000089,595A7A1FF777AB9F34B4B2BE97EC1655,Phone Call - Outbound,Darnell Norquist,(610) 555-1482,Called requester to confirm address. No further action.,Called requester to confirm address,,,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,11/23/2012 15:00:58,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
27BCB6B42BDE7C8AD6C849FD98486E1C,F50E,CA54AA75598A96EE36FB27BE97C30338,06/28/2025 21:45:35,06/28/2025 21:45:35,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2025-000083,CA54AA75598A96EE36FB27BE97C30338,Backorder,,,Item backordered - requester notified. Requester satisfied.,Item backordered - requester notified,07/01/2025,,CN=Ret Hamlin/OU=CHPSID/O=TACOM,06/28/2025 21:45:35,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Ret Hamlin/OU=CHPSID/O=TACOM;[Admin]
167F6B211AE680DB113448F39D01F9FF,F512,17CD0FF53218D346B2550E488F892189,08/16/2024 20:36:57,08/16/2024 20:36:57,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2024-000075,17CD0FF53218D346B2550E488F892189,General,,,General note. Follow-up required.,General note,,Yes,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,08/16/2024 20:36:57,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
1AC1A387C7DC6BA072A10D429A331551,F516,00DB8AB2E5E817D8C7FFBB4160325898,07/16/2009 09:33:04,07/16/2009 09:33:04,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2009-000004,00DB8AB2E5E817D8C7FFBB4160325898,Backorder,,,Item backordered - requester notified. See attached correspondence.,Item backordered - requester notified,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,07/16/2009 09:33:04,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Marlene Okafor/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
