UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,JobNumber,CaseNumber,VeteranName,JobStatus,Priority,Items,EngravingText,Font,Machine,ProofChecked,QueuedDate,StartedDate,CompletedDate,Engraver,ReworkCount,Notes,DocReaders,DaysInQueue
CBE97376E3653C0C118FA958DF65F384,CC4A,,09/12/2008 15:05:17,09/16/2008 18:05:17,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,ENG-2008-01144,VMA-2008-000079,"Wickersham, Carl",Complete,Routine,Army Commendation Medal :: C. H. WICKERSHAM;Purple Heart :: C. H. WICKERSHAM,C. H. WICKERSHAM,Block,Rotary-A,Spelling verified against authorization record;Award matches line item,09/12/2008 15:05:17,09/16/2008 15:05:17,09/16/2008 18:05:17,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,4
35833BA46B4FD859B88EC798A63DE456,CC4E,,05/23/2011 19:30:11,06/04/2011 19:30:11,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,ENG-2011-00728,VMA-2011-000067,"Quimbley, James",Complete,Routine,Purple Heart :: J. QUIMBLEY,J. QUIMBLEY,Roman,Rotary-A,Spelling verified against authorization record;Award matches line item,05/23/2011 19:30:11,05/27/2011 19:30:11,06/04/2011 19:30:11,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,12
371E04E8C5D13AEE9C9FD752303C57B2,CC52,,11/09/2022 17:44:49,11/15/2022 19:44:49,CN=Hector Amundsen/OU=CHPSID/O=TACOM,,ENG-2022-01307,VMA-2022-000091,"Norquist, Ralph",Complete,Routine,Silver Star :: R. F. NORQUIST,R. F. NORQUIST,Block,Rotary-A,Spelling verified against authorization record;Award matches line item,11/09/2022 17:44:49,11/13/2022 17:44:49,11/15/2022 19:44:49,CN=Hector Amundsen/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,6
BD23A30E7077DA08305584E5F60C04FD,CC56,,06/06/2014 09:15:54,06/14/2014 10:15:54,CN=Hector Amundsen/OU=CHPSID/O=TACOM,,ENG-2014-00177,VMA-2014-000014,"Kirkbride, John",Complete,Routine,Air Medal :: J. P. KIRKBRIDE;Army Commendation Medal :: J. P. KIRKBRIDE,J. P. KIRKBRIDE,Script,Laser-1,Spelling verified against authorization record;Award matches line item,06/06/2014 09:15:54,06/10/2014 09:15:54,06/14/2014 10:15:54,CN=Hector Amundsen/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,8
0842D516454AF520E9921E7536063359,CC5A,,04/14/2013 12:47:41,05/01/2013 12:47:41,CN=Hector Amundsen/OU=CHPSID/O=TACOM,,ENG-2013-00273,VMA-2013-000014,"Ellsworthy, Ryan",Complete,Expedite,Silver Star :: R. ELLSWORTHY;Air Medal :: R. ELLSWORTHY;Purple Heart :: R. ELLSWORTHY,R. ELLSWORTHY,Block,Laser-1,Spelling verified against authorization record;Award matches line item,04/14/2013 12:47:41,04/16/2013 12:47:41,05/01/2013 12:47:41,CN=Hector Amundsen/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,17
900E84B858199B0A646203A00F18C132,CC5E,,11/08/2017 16:00:47,11/24/2017 17:00:47,CN=Hector Amundsen/OU=CHPSID/O=TACOM,,ENG-2017-00476,VMA-2017-000041,"Zimmerly, Tyler",Complete,Routine,Bronze Star Medal :: T. ZIMMERLY,T. ZIMMERLY,Block,Hand,Spelling verified against authorization record;Award matches line item,11/08/2017 16:00:47,11/10/2017 16:00:47,11/24/2017 17:00:47,CN=Hector Amundsen/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,16
48B5902ADE239DB3C1E2472F99980AE6,CC62,,05/05/2025 17:47:49,05/19/2025 17:47:49,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,ENG-2025-01118,VMA-2025-000119,"Yarrowdale, Angela",Complete,Congressional,Air Medal :: A. YARROWDALE,A. YARROWDALE,Roman,Rotary-A,Spelling verified against authorization record;Award matches line item,05/05/2025 17:47:49,05/05/2025 17:47:49,05/19/2025 17:47:49,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,14
D97BFBBF83044D409351BF27FBEACDE9,CC66,,02/12/2026 12:25:20,02/16/2026 12:25:20,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,ENG-2026-00812,VMA-2026-000343,"Zimmerly, Stephanie",Complete,Routine,Army Commendation Medal :: S. K. ZIMMERLY,S. K. ZIMMERLY,Block,Rotary-A,Spelling verified against authorization record;Award matches line item,02/12/2026 12:25:20,02/15/2026 12:25:20,02/16/2026 12:25:20,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,4
215B13FB0EEBA5093FD385E40C1EF885,CC6A,,04/18/2026 20:27:50,04/27/2026 20:27:50,CN=Hector Amundsen/OU=CHPSID/O=TACOM,,ENG-2026-01358,VMA-2026-000587,"Hargreave, Leonard",Complete,Routine,Army Commendation Medal :: L. A. HARGREAVE,L. A. HARGREAVE,Block,Laser-2,Spelling verified against authorization record;Award matches line item,04/18/2026 20:27:50,04/21/2026 20:27:50,04/27/2026 20:27:50,CN=Hector Amundsen/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,9
F317812DF65968BB07F42315FA4380AC,CC6E,,01/12/2024 18:45:49,01/19/2024 21:45:49,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,ENG-2024-01188,VMA-2024-000096,"Vandermolen, Betty",Complete,Routine,Silver Star :: B. B. VANDERMOLEN,B. B. VANDERMOLEN,Block,Laser-1,Spelling verified against authorization record;Award matches line item,01/12/2024 18:45:49,01/15/2024 18:45:49,01/19/2024 21:45:49,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,0,,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers,7
